,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-03-03,0.0,-9877.94219056095,0.0,-1982.92608334575,167599.45786345695,10141.996059325349,0.0
2023-03-06,-5976.69834575655,5458.86278952075,0.0,9914.63041673145,-122952.06130147065,1334.47316570055,-0.0
2023-03-07,-8218.2743075952,-37433.632606419145,-0.0,-50015.7138016557,0.0,-0.0,-0.0
2023-03-08,-26149.38773253885,-11958.11830615275,0.0,22914.9801758457,-0.0,0.0,-0.0
2023-03-09,-41838.48738412155,-12217.9217534838,0.0,5288.0049834345,-0.0,-0.0,0.0
2023-03-10,17176.6594769697,12472.7908825503,0.0,-3744.1432602913496,-0.0,-0.0,0.0
2023-03-13,-11199.3139315701,22341.38767301475,0.0,10128.62885615145,0.0,-0.0,0.0
2023-03-14,21662.771387246547,45094.858809426456,-0.0,-22250.002220658,-0.0,0.0,0.0
2023-03-15,17183.22664981275,48350.5435262034,0.0,-70504.93671681015,-0.0,-0.0,0.0
2023-03-16,18677.6582125806,-9618.24140354295,-0.0,9474.221566654202,0.0,0.0,-0.0
2023-03-17,4482.46665346635,20925.37410751125,0.0,12338.0495562015,-0.0,-0.0,0.0
2023-03-20,-3731.53423295925,-5063.64873366915,0.0,16507.121788377,-42542.2591365708,-13864.02269135265,0.0
2023-03-21,6400.75007791305,-10977.81497831475,-0.0,9359.64239933565,42911.0469340704,20274.94772443305,-0.0
2023-03-22,-7468.9694038359,-7952.29942291965,0.0,11123.583641881649,-60773.65895924145,19745.1706330314,0.0
2023-03-23,3735.4364660979004,6078.9159056916005,0.0,17405.68450937355,-5838.50570425965,30959.77744425735,0.0
2023-03-24,-24014.437911804147,4527.025281939151,-0.0,-10686.176737357951,21294.187556288398,-9341.66917546605,0.0
2023-03-27,11206.737692175151,-22958.485358407648,-0.0,771.16739341725,-29537.0988684003,-14946.6706807464,-0.0
2023-03-28,-2134.6438965336,-2522.2319306901004,0.0,1542.3544349122499,-0.0,-27224.6398407621,0.0
